MSE,MSE,MSE,MSE,MSE,MSE,MSE,R2,R2,R2,R2,R2,R2,R2
Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN,Mix0.00,Mix0.25,Mix0.50,Mix0.75,KR,ExtraTrees,KNN
1814882.412562796,1589237.1930553273,1544799.5264450698,1970195.9872509195,46557338.90341627,15251314.395109527,16303924.650314374,0.9807872548465062,0.9831759848642153,0.9836464117953977,0.9791430711193922,0.5071337508235227,0.838546224978136,0.8274030608595047
9520642.948386975,8924081.535696004,8041570.681463144,6023756.894798951,46047180.03381695,11070541.010944389,15699804.144997101,0.8992123757447905,0.9055277063199847,0.9148701606962025,0.9362311820946311,0.5125344050375693,0.882804813313371,0.8337984136549901
6280457.974548404,6172403.024445678,5831557.7625379255,3998286.5618477655,45997737.76816975,10592100.577227527,15699804.144997101,0.9335136878968177,0.9346575814099878,0.9382658444624477,0.9576732573792781,0.5130578117569884,0.8878696891755756,0.8337984136549901
6280457.974548404,6172424.589772348,5831670.102457963,3998883.2770739626,45992706.03341829,10592100.577227527,15699804.144997101,0.9335136878968177,0.9346573531146875,0.9382646552072985,0.9576669404203992,0.5131110788098788,0.8878696891755756,0.8337984136549901
5291018.871276853,4516869.253900822,3382309.7532734657,2657373.930377498,38397207.275733106,9826180.983374815,8294897.937605453,0.9334706201909602,0.9432047933580658,0.9574707677893716,0.9665861256952839,0.5171927281678353,0.8764453987748588,0.8956997831997907
4174818.015332401,3478233.263840345,2777705.2163810474,2528759.6538836835,38355146.71112441,11269133.78013824,8212105.051008566,0.9475057526474775,0.9562646236000616,0.9650730776370168,0.9682033242458642,0.5177215985699096,0.858301680712628,0.8967408226539859
2989195.8618262946,2637723.5212603854,2241755.7117169895,2237396.4016765826,38352806.43526693,11222952.60908087,8212105.051008566,0.9624137899234029,0.9668332103425628,0.9718121177012713,0.9718669317551312,0.5177510252465419,0.8588823637047037,0.8967408226539859
2989195.8618262946,2637726.1019778736,2241758.1834998215,2237392.0597018604,38352682.24485367,11222952.60908087,8212105.051008566,0.9624137899234029,0.9668331778925682,0.9718120866210234,0.9718669863512104,0.5177525868193454,0.8588823637047037,0.8967408226539859
8617180.382078726,7756287.943754248,6315031.552090897,4032369.0043588188,42716229.14490169,13532992.270061167,11432665.414246388,0.8986047692352273,0.9087345777778333,0.9256933181017368,0.9525525789646927,0.49737365129829214,0.8407621967604993,0.865475979782808
5885649.9374407865,5205580.577052622,4413400.2641188465,3134798.4749125247,42829220.81900376,16468100.166423816,11432665.414246388,0.9307456955585375,0.9387478246396482,0.9480691225672487,0.9631139652796572,0.49604411932123105,0.8062258485264374,0.865475979782808
5543561.600063916,5013347.704633082,4318747.118538099,3085942.921560736,42838286.67881934,14648737.876033902,11432665.414246388,0.9347709247370286,0.9410097590074248,0.9491828717419476,0.9636888308257641,0.4959374446425864,0.8276336235873454,0.865475979782808
5543561.600063916,5013342.389795892,4318729.526182947,3085910.1614105687,42839007.2378665,14648737.876033902,11432665.414246388,0.9347709247370286,0.9410098215451831,0.949183078744799,0.9636892163025487,0.49592896608607173,0.8276336235873454,0.865475979782808
